Price,Close,High,Low,Open,Volume
Ticker,^SP500TR,^SP500TR,^SP500TR,^SP500TR,^SP500TR
Date,,,,,
2000-12-13,1891.9300537109375,1891.9300537109375,1891.9300537109375,1891.9300537109375,0
2000-12-14,1865.449951171875,1865.449951171875,1865.449951171875,1865.449951171875,0
2000-12-15,1825.4200439453125,1825.4200439453125,1825.4200439453125,1825.4200439453125,0
2000-12-18,1840.1800537109375,1840.1800537109375,1840.1800537109375,1840.1800537109375,0
2000-12-19,1816.3599853515625,1816.3599853515625,1816.3599853515625,1816.3599853515625,0
2000-12-20,1759.6199951171875,1759.6199951171875,1759.6199951171875,1759.6199951171875,0
2000-12-21,1773.7099609375,1773.7099609375,1773.7099609375,1773.7099609375,0
2000-12-22,1817.0,1817.0,1817.0,1817.0,0
2000-12-26,1829.8299560546875,1829.8299560546875,1829.8299560546875,1829.8299560546875,0
2000-12-27,1849.3399658203125,1849.3399658203125,1849.3399658203125,1849.3399658203125,0
2000-12-28,1856.760009765625,1856.760009765625,1856.760009765625,1856.760009765625,0
2000-12-29,1837.3699951171875,1837.3699951171875,1837.3699951171875,1837.3699951171875,0
2001-01-02,1785.8599853515625,1785.8599853515625,1785.8599853515625,1785.8599853515625,0
2001-01-03,1875.56005859375,1875.56005859375,1875.56005859375,1875.56005859375,0
2001-01-04,1855.8199462890625,1855.8199462890625,1855.8199462890625,1855.8199462890625,0
2001-01-05,1807.1300048828125,1807.1300048828125,1807.1300048828125,1807.1300048828125,0
2001-01-08,1804.0400390625,1804.0400390625,1804.0400390625,1804.0400390625,0
2001-01-09,1810.97998046875,1810.97998046875,1810.97998046875,1810.97998046875,0
2001-01-10,1828.5,1828.5,1828.5,1828.5,0
2001-01-11,1847.3699951171875,1847.3699951171875,1847.3699951171875,1847.3699951171875,0
2001-01-12,1835.5400390625,1835.5400390625,1835.5400390625,1835.5400390625,0
2001-01-16,1847.1300048828125,1847.1300048828125,1847.1300048828125,1847.1300048828125,0
2001-01-17,1851.1600341796875,1851.1600341796875,1851.1600341796875,1851.1600341796875,0
2001-01-18,1876.93994140625,1876.93994140625,1876.93994140625,1876.93994140625,0
2001-01-19,1869.3800048828125,1869.3800048828125,1869.3800048828125,1869.3800048828125,0
2001-01-22,1869.8900146484375,1869.8900146484375,1869.8900146484375,1869.8900146484375,0
2001-01-23,1894.25,1894.25,1894.25,1894.25,0
2001-01-24,1899.7099609375,1899.7099609375,1899.7099609375,1899.7099609375,0
2001-01-25,1890.27001953125,1890.27001953125,1890.27001953125,1890.27001953125,0
2001-01-26,1886.800048828125,1886.800048828125,1886.800048828125,1886.800048828125,0
2001-01-29,1899.75,1899.75,1899.75,1899.75,0
2001-01-30,1913.1300048828125,1913.1300048828125,1913.1300048828125,1913.1300048828125,0
2001-01-31,1902.550048828125,1902.550048828125,1902.550048828125,1902.550048828125,0
2001-02-01,1913.1099853515625,1913.1099853515625,1913.1099853515625,1913.1099853515625,0
2001-02-02,1879.68994140625,1879.68994140625,1879.68994140625,1879.68994140625,0
2001-02-05,1886.47998046875,1886.47998046875,1886.47998046875,1886.47998046875,0
2001-02-06,1883.719970703125,1883.719970703125,1883.719970703125,1883.719970703125,0
2001-02-07,1868.2900390625,1868.2900390625,1868.2900390625,1868.2900390625,0
2001-02-08,1856.6600341796875,1856.6600341796875,1856.6600341796875,1856.6600341796875,0
2001-02-09,1831.9599609375,1831.9599609375,1831.9599609375,1831.9599609375,0
2001-02-12,1853.6500244140625,1853.6500244140625,1853.6500244140625,1853.6500244140625,0
2001-02-13,1837.77001953125,1837.77001953125,1837.77001953125,1837.77001953125,0
2001-02-14,1834.0999755859375,1834.0999755859375,1834.0999755859375,1834.0999755859375,0
2001-02-15,1849.1500244140625,1849.1500244140625,1849.1500244140625,1849.1500244140625,0
2001-02-16,1814.219970703125,1814.219970703125,1814.219970703125,1814.219970703125,0
2001-02-20,1782.75,1782.75,1782.75,1782.75,0
2001-02-21,1749.8599853515625,1749.8599853515625,1749.8599853515625,1749.8599853515625,0
2001-02-22,1746.5,1746.5,1746.5,1746.5,0
2001-02-23,1736.8199462890625,1736.8199462890625,1736.8199462890625,1736.8199462890625,0
2001-02-26,1767.2900390625,1767.2900390625,1767.2900390625,1767.2900390625,0
2001-02-27,1753.8800048828125,1753.8800048828125,1753.8800048828125,1753.8800048828125,0
2001-02-28,1729.0799560546875,1729.0799560546875,1729.0799560546875,1729.0799560546875,0
2001-03-01,1730.9200439453125,1730.9200439453125,1730.9200439453125,1730.9200439453125,0
2001-03-02,1721.0899658203125,1721.0899658203125,1721.0899658203125,1721.0899658203125,0
2001-03-05,1731.4200439453125,1731.4200439453125,1731.4200439453125,1731.4200439453125,0
2001-03-06,1748.739990234375,1748.739990234375,1748.739990234375,1748.739990234375,0
2001-03-07,1760.3599853515625,1760.3599853515625,1760.3599853515625,1760.3599853515625,0
2001-03-08,1764.3900146484375,1764.3900146484375,1764.3900146484375,1764.3900146484375,0
2001-03-09,1720.7099609375,1720.7099609375,1720.7099609375,1720.7099609375,0
2001-03-12,1646.4200439453125,1646.4200439453125,1646.4200439453125,1646.4200439453125,0
2001-03-13,1671.18994140625,1671.18994140625,1671.18994140625,1671.18994140625,0
2001-03-14,1628.02001953125,1628.02001953125,1628.02001953125,1628.02001953125,0
2001-03-15,1637.6099853515625,1637.6099853515625,1637.6099853515625,1637.6099853515625,0
2001-03-16,1605.47998046875,1605.47998046875,1605.47998046875,1605.47998046875,0
2001-03-19,1633.81005859375,1633.81005859375,1633.81005859375,1633.81005859375,0
2001-03-20,1594.5,1594.5,1594.5,1594.5,0
2001-03-21,1565.97998046875,1565.97998046875,1565.97998046875,1565.97998046875,0
2001-03-22,1559.6500244140625,1559.6500244140625,1559.6500244140625,1559.6500244140625,0
2001-03-23,1590.699951171875,1590.699951171875,1590.699951171875,1590.699951171875,0
2001-03-26,1608.6500244140625,1608.6500244140625,1608.6500244140625,1608.6500244140625,0
2001-03-27,1649.7900390625,1649.7900390625,1649.7900390625,1649.7900390625,0
2001-03-28,1609.6700439453125,1609.6700439453125,1609.6700439453125,1609.6700439453125,0
2001-03-29,1602.260009765625,1602.260009765625,1602.260009765625,1602.260009765625,0
2001-03-30,1619.5400390625,1619.5400390625,1619.5400390625,1619.5400390625,0
2001-04-02,1599.3599853515625,1599.3599853515625,1599.3599853515625,1599.3599853515625,0
2001-04-03,1544.3499755859375,1544.3499755859375,1544.3499755859375,1544.3499755859375,0
2001-04-04,1540.1700439453125,1540.1700439453125,1540.1700439453125,1540.1700439453125,0
2001-04-05,1607.4599609375,1607.4599609375,1607.4599609375,1607.4599609375,0
2001-04-06,1575.7099609375,1575.7099609375,1575.7099609375,1575.7099609375,0
2001-04-09,1588.5,1588.5,1588.5,1588.5,0
2001-04-10,1631.68994140625,1631.68994140625,1631.68994140625,1631.68994140625,0
2001-04-11,1628.22998046875,1628.22998046875,1628.22998046875,1628.22998046875,0
2001-04-12,1652.8299560546875,1652.8299560546875,1652.8299560546875,1652.8299560546875,0
2001-04-16,1647.5,1647.5,1647.5,1647.5,0
2001-04-17,1664.43994140625,1664.43994140625,1664.43994140625,1664.43994140625,0
2001-04-18,1729.260009765625,1729.260009765625,1729.260009765625,1729.260009765625,0
2001-04-19,1750.97998046875,1750.97998046875,1750.97998046875,1750.97998046875,0
2001-04-20,1736.02001953125,1736.02001953125,1736.02001953125,1736.02001953125,0
2001-04-23,1710.010009765625,1710.010009765625,1710.010009765625,1710.010009765625,0
