Date,SPY,GLD
2007-11-23,81.25,103.24938201904297
2007-11-26,81.30000305175781,100.97135162353516
2007-11-27,80.0999984741211,102.13182830810547
2007-11-28,79.56999969482422,105.39848327636719
2007-11-29,78.27999877929688,105.43424224853516
2007-11-30,77.31999969482422,106.4945297241211
2007-12-03,78.27999877929688,105.79246520996094
2007-12-04,79.4000015258789,104.84687805175781
2007-12-05,78.62999725341797,106.6019287109375
2007-12-06,79.37000274658203,108.12781524658203
2007-12-07,78.5999984741211,108.10628509521484
2007-12-10,80.0,108.94442749023438
2007-12-11,78.83999633789062,105.9572525024414
2007-12-12,80.48999786376953,107.00316619873047
2007-12-13,78.5,106.7810287475586
2007-12-14,78.5199966430664,105.42706298828125
2007-12-17,78.12999725341797,103.92278289794922
2007-12-18,79.25,104.50301361083984
2007-12-19,79.23999786376953,104.50301361083984
2007-12-20,78.66999816894531,105.162109375
2007-12-21,80.0999984741211,106.67803192138672
2007-12-24,80.13999938964844,107.4701919555664
2007-12-26,81.5199966430664,107.70059204101562
2007-12-27,81.55999755859375,106.34675598144531
2007-12-28,83.0,106.08028411865234
2007-12-31,82.45999908447266,105.29529571533203
2008-01-02,84.86000061035156,104.37350463867188
2008-01-03,85.56999969482422,104.32308959960938
2008-01-04,85.12999725341797,101.76651763916016
2008-01-07,84.7699966430664,101.68011474609375
2008-01-08,86.77999877929688,100.03813171386719
2008-01-09,86.55000305175781,101.08952331542969
2008-01-10,88.25,101.75205993652344
2008-01-11,88.58000183105469,100.93109893798828
2008-01-14,89.54000091552734,101.74488830566406
2008-01-15,87.98999786376953,99.50521087646484
2008-01-16,86.69999694824219,98.64818572998047
2008-01-17,86.5,96.09156036376953
2008-01-18,87.41999816894531,95.10498046875
2008-01-22,88.16999816894531,94.13996887207031
2008-01-23,87.88999938964844,96.40127563476562
2008-01-24,90.08000183105469,97.21502685546875
2008-01-25,90.30000305175781,95.81072998046875
2008-01-28,91.75,97.39511108398438
2008-01-29,91.1500015258789,97.87761688232422
2008-01-30,92.05999755859375,97.15743255615234
2008-01-31,91.4000015258789,98.92903900146484
2008-02-01,89.3499984741211,100.52061462402344
2008-02-04,89.0999984741211,99.25314331054688
2008-02-05,87.68000030517578,96.59567260742188
2008-02-06,88.94999694824219,95.8179702758789
2008-02-07,89.8499984741211,96.45165252685547
2008-02-08,91.0,95.83238983154297
2008-02-11,91.33000183105469,96.32205200195312
2008-02-12,89.33000183105469,97.21502685546875
2008-02-13,89.44000244140625,98.2088851928711
2008-02-14,89.70999908447266,97.34467315673828
2008-02-15,89.1500015258789,97.32310485839844
2008-02-19,91.58000183105469,97.59672546386719
2008-02-20,93.23999786376953,97.88482666015625
2008-02-21,93.25,97.07100677490234
2008-02-22,93.38999938964844,97.66873931884766
2008-02-25,92.73999786376953,98.9002456665039
2008-02-26,93.70999908447266,99.64204406738281
2008-02-27,94.77999877929688,99.54120635986328
